College,Major Name,Total_2005,Male_2005,Female_2005,Total_2015,Male_2015,Female_2015,%Female_2005,%Female_2015
KV,General Curriculum,3775.0,1700.0,2070.0,155.0,102.0,53.0,0.5483443708609271,0.3419354838709677
KV,Geography,82.0,57.0,25.0,39.0,23.0,16.0,0.3048780487804878,0.41025641025641024
KV,Geology,93.0,59.0,34.0,112.0,85.0,27.0,0.3655913978494624,0.24107142857142858
KV,History,693.0,417.0,275.0,301.0,173.0,128.0,0.3968253968253968,0.42524916943521596
KV,Integrative Biology,251.0,113.0,138.0,402.0,153.0,249.0,0.549800796812749,0.6194029850746269
KV,Linguistics,103.0,42.0,61.0,114.0,38.0,76.0,0.5922330097087378,0.6666666666666666
KV,Math & Computer Science,128.0,117.0,10.0,263.0,216.0,47.0,0.078125,0.17870722433460076
KV,Mathematics,613.0,394.0,219.0,759.0,465.0,294.0,0.3572593800978793,0.38735177865612647
KV,Microbiology,86.0,37.0,49.0,55.0,22.0,33.0,0.5697674418604651,0.6
KV,Molecular & Integrative Physi,37.0,21.0,16.0,25.0,12.0,13.0,0.43243243243243246,0.52
KV,Molecular and Cellular Biology,794.0,324.0,469.0,1041.0,517.0,524.0,0.5906801007556675,0.5033621517771374
KV,Neuroscience,59.0,26.0,33.0,67.0,32.0,35.0,0.559322033898305,0.5223880597014925
KV,Nondegree,130.0,68.0,60.0,213.0,98.0,115.0,0.46153846153846156,0.539906103286385
KV,Philosophy,137.0,105.0,32.0,79.0,58.0,21.0,0.23357664233576642,0.26582278481012656
KV,Physics,187.0,145.0,42.0,386.0,332.0,54.0,0.22459893048128343,0.13989637305699482
KV,Political Science,1064.0,642.0,419.0,628.0,370.0,258.0,0.39379699248120303,0.410828025477707
KV,Psychology,1376.0,381.0,995.0,1480.0,436.0,1044.0,0.7231104651162791,0.7054054054054054
KV,Sociology,472.0,156.0,316.0,241.0,107.0,134.0,0.6694915254237288,0.5560165975103735
KV,Spanish,318.0,97.0,221.0,121.0,27.0,94.0,0.6949685534591195,0.7768595041322314
KV,Statistics,77.0,44.0,33.0,336.0,193.0,143.0,0.42857142857142855,0.4255952380952381
KV,Teaching of English Sec Lang,50.0,12.0,38.0,39.0,12.0,27.0,0.76,0.6923076923076923
KY,Community Health,447.0,102.0,345.0,615.0,147.0,468.0,0.7718120805369127,0.7609756097560976
KY,Kinesiology,658.0,261.0,397.0,621.0,265.0,356.0,0.6033434650455927,0.573268921095008
KY,"Recreation, Sport, and Tourism",36.0,22.0,14.0,317.0,211.0,106.0,0.3888888888888889,0.334384858044164
KY,Speech & Hearing Science,298.0,13.0,285.0,350.0,16.0,334.0,0.9563758389261745,0.9542857142857143
LC,VMS-Veterinary Clinical Medcne,27.0,12.0,15.0,38.0,8.0,30.0,0.5555555555555556,0.7894736842105263
LC,Veterinary Medicine,404.0,92.0,312.0,491.0,70.0,420.0,0.7722772277227723,0.8553971486761711
LG,Human Res & Industrial Rels,141.0,51.0,90.0,186.0,58.0,128.0,0.6382978723404256,0.6881720430107527
LL,Social Work,289.0,19.0,270.0,468.0,56.0,412.0,0.9342560553633218,0.8803418803418803
LN,Nondegree-CE,86.0,29.0,57.0,52.0,16.0,36.0,0.6627906976744186,0.6923076923076923
LP,Library & Information Science,247.0,68.0,179.0,268.0,73.0,195.0,0.7246963562753036,0.7276119402985075
